case,rows,repeats,metadata_pair_mean_ms,metadata_pair_stdev_ms,static_pair_mean_ms,static_pair_stdev_ms,probe_refinement_mean_ms,probe_refinement_stdev_ms,pair_check_pipeline_mean_ms,pair_check_pipeline_stdev_ms,static_conflict_kinds,probe_conflict_kinds,pipeline_conflict_kinds
simple_write_write,10,10,0.6106187520781532,0.1121097642001286,0.0036642832972574976,0.0006591990727700185,0.032433393062092364,0.10064558975039811,1.3968752056825906,0.39667763662965416,write_write,none,none
aggregate_write_read,10,10,0.7749572479515336,0.1389400265813193,0.0017868708993773906,3.323422434316362e-05,1.2302916002226993,0.08578240321235282,1.9007501046871766,0.20146770433752895,write_read,write_read,write_read
cte_write_read,10,10,1.6521494180778973,0.09415101798437019,0.0018968874035635963,9.213103421912406e-05,4.395100299734622,0.9845352747316882,5.244953904184513,1.3469796248923946,write_read,write_read,write_read
simple_write_write,100,10,0.5125052478397265,0.3025839376445119,0.0025386624969542027,0.00028617973434604243,0.013616800424642861,0.04247405657196455,1.0579543974017724,0.21078696493609844,write_write,none,none
aggregate_write_read,100,10,0.6452009141794406,0.021275601456987106,0.001907279307488352,6.751501209169243e-05,1.1983666976448148,0.07711344215904453,1.6922580980462953,0.06323429391966455,write_read,write_read,write_read
cte_write_read,100,10,1.560704332019668,0.09179556244229665,0.0017122293036663904,9.02464347537808e-06,3.0698709975695238,0.40458967115176336,3.736449999269098,0.196624597379,write_read,write_read,write_read
simple_write_write,1000,10,0.3627948320354335,0.011836037486650325,0.0023461666976800186,1.1076278141127032e-05,0.04322490131016821,0.13613328630491509,1.6485917964018881,0.06008270237802776,write_write,none,none
aggregate_write_read,1000,10,0.6118132540723309,0.022536583445324783,0.001931379103916697,0.0002698425234878813,1.527212403016165,0.11250066304646901,2.2259042074438184,0.09427291208818385,write_read,write_read,write_read
cte_write_read,1000,10,1.515407003927976,0.0564964589675511,0.0017657207994489,3.370016350654979e-05,3.9250332018127665,0.17412964502354328,4.885420796927065,0.1920698756410019,write_read,write_read,write_read
simple_write_write,10000,10,0.35774691798724234,0.007450978160401619,0.002325379298417829,6.247477035612045e-06,0.39084590098354965,1.235509297135338,9.924816701095551,0.5246264343363028,write_write,none,none
aggregate_write_read,10000,10,0.5771102480357513,0.015972099709533085,0.0017907998990267515,9.179216555459403e-05,4.070795996813104,0.17185291033865502,7.078996000927873,0.1979221201495355,write_read,write_read,write_read
cte_write_read,10000,10,1.4612649179180153,0.054566554520747386,0.0017196832020999863,6.1657407775128294e-06,13.924304099055007,0.20796761666087624,17.327174998354167,0.5284140666142592,write_read,write_read,write_read
simple_write_write,100000,10,0.35560066998004913,0.003935693456987082,0.0023408915032632647,5.525213125382216e-06,3.9749958988977596,12.56942549077738,98.76102909911424,8.069296340828943,write_write,none,none
aggregate_write_read,100000,10,0.6173701680381782,0.013604957387091651,0.0018480249971617015,0.00010347838321346778,29.623983296914957,0.6011263206770595,55.7746959006181,0.41318731444518575,write_read,write_read,write_read
cte_write_read,100000,10,1.4591709120431915,0.04767208047953115,0.0017143373988801613,1.2142728963465991e-05,145.55165829951875,1.3442556035355309,171.57108340470586,0.9564353884982817,write_read,write_read,write_read
